Date,Open,High,Low,Close,Adj Close,Volume,ma5,ma20,ema5,ema20,rsi6,rsi12,rsi24,mom6,mom12,mom24,roc,willr,trange
2004/1/2,17.959999,18.68,17.540001,18.219999,18.219999,0,,,,,,,,,,,,,
2004/1/5,18.450001,18.49,17.440001,17.49,17.49,0,,,,,,,,,,,-4.0065809,,1.049999
2004/1/6,17.66,17.67,16.190001,16.73,16.73,0,,,,,,,,,,,-4.345340194,,1.479999
2004/1/7,16.719999,16.75,15.5,15.5,15.5,0,,,,,,,,,,,-7.352062164,,1.25
2004/1/8,15.42,15.68,15.32,15.61,15.61,0,16.7099998,,16.7099998,,,,,,,,0.709677419,,0.36
2004/1/9,16.15,16.879999,15.57,16.75,16.75,0,16.416,,16.7233332,,,,,,,,7.30301089,,1.309999
2004/1/12,17.32,17.459999,16.790001,16.82,16.82,0,16.282,,16.75555547,,32.67327541,,,-1.399999,,,0.417910448,,0.709999
2004/1/13,16.6,18.33,16.530001,18.040001,18.040001,0,16.5440002,,17.18370398,,50.58141531,,,0.550001,,,7.253275862,,1.799999
2004/1/14,17.290001,17.299999,16.4,16.75,16.75,0,16.7940002,,17.03913599,,37.81787356,,,0.02,,,-7.1507812,,1.640001
2004/1/15,17.07,17.309999,15.49,15.56,15.56,0,16.7840002,,16.54609066,,29.56067492,,,0.06,,,-7.104477612,,1.819999
2004/1/16,15.4,15.44,14.9,15,15,0,16.4340002,,16.0307271,,26.31595594,,,-0.61,,,-3.598971722,,0.66
2004/1/20,15.77,16.129999,15.09,15.21,15.21,0,16.1120002,,15.7571514,,29.78420346,,,-1.54,,,1.4,,1.129999
2004/1/21,15.63,15.63,14.24,14.34,14.34,0,15.372,,15.2847676,,24.13628666,29.31770476,,-2.48,-3.879999,,-5.719921105,,1.39
2004/1/22,14.2,14.87,14.01,14.71,14.71,0,14.964,,15.0931784,,30.83023446,32.23379247,,-3.330001,-2.78,,2.580195258,-85.01070664,0.86
2004/1/23,14.73,15.05,14.56,14.84,14.84,0,14.82,,15.0087856,,33.31121801,33.28871229,,-1.91,-1.89,,0.883752549,-81.47321429,0.49
2004/1/26,15.78,15.78,14.52,14.55,14.55,0,14.73,,14.85585707,,30.39300423,32.07365183,,-1.01,-0.95,,-1.954177898,-87.5,1.26
2004/1/27,15.28,15.44,14.74,15.35,15.35,0,14.758,,15.02057138,,46.0411396,38.79656132,,0.35,-0.26,,5.498281787,-68.98148148,0.89
2004/1/28,15.37,17.059999,15.29,16.780001,16.780001,0,15.2460002,,15.60704792,,63.59570084,48.69780711,,1.570001,0.030001,,9.315967427,-35.87960648,1.769999
2004/1/29,16.879999,17.66,16.790001,17.139999,17.139999,0,15.732,,16.11803161,,66.85340147,50.88015178,,2.799999,0.319999,,2.145399157,-27.54631944,0.879999
2004/1/30,16.549999,17.35,16.549999,16.629999,16.629999,0,16.0899998,16.10099995,16.28868741,16.10099995,58.0260073,47.74150687,,1.919999,-1.410002,,-2.97549609,-39.351875,0.800001
2004/2/2,17.450001,17.559999,16.67,17.110001,17.110001,0,16.602,16.04550005,16.56245861,16.19709529,63.47322199,50.85423586,,2.270001,0.360001,,2.88636217,-28.24071759,0.93
2004/2/3,17.290001,17.780001,17.17,17.34,17.34,0,17,16.03800005,16.82163907,16.30594336,66.00960355,52.33820969,,2.79,1.78,,1.34423721,-11.67111096,0.67
2004/2/4,17.84,18.059999,17.459999,17.870001,17.870001,0,17.218,16.0950001,17.17109305,16.45490123,71.48492612,55.70080991,,2.520001,2.870001,,3.056522491,-4.6913098,0.719999
2004/2/5,17.91,17.99,17.6,17.709999,17.709999,0,17.332,16.20550005,17.35072836,16.57443435,67.54338321,54.43599113,,0.929998,2.499999,,-0.895366486,-8.641977442,0.39
2004/2/6,17.709999,17.709999,15.94,16,16,0,17.2060002,16.22500005,16.90048558,16.51972631,39.56530065,43.04112114,43.22344752,-1.139999,1.66,-2.219999,-9.655556728,-50.8641854,1.769999
2004/2/9,16.540001,16.82,16.120001,16.389999,16.389999,0,17.0619998,16.207,16.73032338,16.50737133,45.71894382,45.86074831,44.5998451,-0.24,1.679999,-1.100001,2.43749375,-41.23457808,0.82
2004/2/10,16.41,16.76,15.84,15.94,15.94,0,16.7819998,16.163,16.46688226,16.45333597,40.06968841,43.17072401,43.33497792,-1.170001,1.1,-0.79,-2.745570637,-52.34566725,0.92
2004/2/11,15.9,16.16,15.26,15.39,15.39,0,16.2859996,16.03049995,16.1079215,16.35206588,33.92203583,40.03930424,41.82227457,-1.95,0.84,-0.11,-3.450439147,-75.42372187,0.9
2004/2/12,15.36,15.72,15.23,15.31,15.31,0,15.8059998,15.95849995,15.84194767,16.25282151,33.03731423,39.58370368,41.60186084,-2.560001,-0.04,-0.3,-0.519818064,-77.68360952,0.49
2004/2/13,15.12,16.030001,14.86,15.58,15.58,0,15.7219998,15.95949995,15.75463178,16.18874327,39.43471435,42.0130548,42.66600481,-2.129999,-1.200001,-1.17,1.763553233,-74.69878756,1.170001
2004/2/17,15.63,15.96,15.32,15.4,15.4,0,15.524,15.97949995,15.63642119,16.11362486,36.63474181,40.81934296,42.13192662,-0.6,-1.739999,-1.42,-1.155327343,-83.12499473,0.64
2004/2/18,15.51,15.76,15.3,15.59,15.59,0,15.454,15.99849995,15.62094746,16.06375583,41.86336456,42.69426404,42.91893514,-0.799999,-1.039999,-2.450001,1.233766234,-77.18749287,0.46
2004/2/19,15.33,15.97,15.2,15.8,15.8,0,15.536,16.07149995,15.68063164,16.03863622,47.5982986,44.80276961,43.80043543,-0.14,-1.310001,-0.95,1.347017319,-70.62499082,0.77
2004/2/20,15.85,16.549999,15.82,16.040001,16.040001,0,15.6820002,16.138,15.80042143,16.0387662,53.84273951,47.22378322,44.8167194,0.650001,-1.299999,0.480001,1.518993671,-63.12495723,0.749999
2004/2/23,16.5,16.780001,16.25,16.290001,16.290001,0,15.8240004,16.21050005,15.96361462,16.06269333,59.82676196,49.72937187,45.88048606,0.980001,-1.58,1.290001,1.558603394,-55.31245479,0.74
